,accident_year,dev,claims,premium,type
100,1988,0,0.0,104437,PD (train)
100,1988,0,0.0,0,OS (train)
100,1988,1,53121.0,0,PD (train)
100,1988,1,9558.0,0,OS (train)
101,1988,2,41222.0,0,PD (train)
101,1988,2,22778.0,0,OS (train)
102,1988,3,32309.0,0,PD (train)
102,1988,3,33298.0,0,OS (train)
103,1988,4,24944.0,0,PD (train)
103,1988,4,40348.0,0,OS (train)
104,1988,5,17104.0,0,PD (train)
104,1988,5,45146.0,0,OS (train)
105,1988,6,13137.0,0,PD (train)
105,1988,6,48048.0,0,OS (train)
106,1988,7,9605.0,0,PD (train)
106,1988,7,49782.0,0,OS (train)
107,1988,8,6515.0,0,PD (train)
107,1988,8,50623.0,0,OS (train)
108,1988,9,1661.0,0,PD (train)
108,1988,9,51812.0,0,OS (train)
109,1988,10,1322.0,0,PD (train)
109,1988,10,51939.0,0,OS (train)
110,1989,0,0.0,88883,PD (train)
110,1989,0,0.0,0,OS (train)
110,1989,1,54145.0,0,PD (train)
110,1989,1,7913.0,0,OS (train)
111,1989,2,37188.0,0,PD (train)
111,1989,2,19472.0,0,OS (train)
112,1989,3,26976.0,0,PD (train)
112,1989,3,29622.0,0,OS (train)
113,1989,4,20015.0,0,PD (train)
113,1989,4,36816.0,0,OS (train)
114,1989,5,14319.0,0,PD (train)
114,1989,5,40975.0,0,OS (train)
115,1989,6,10179.0,0,PD (train)
115,1989,6,43302.0,0,OS (train)
116,1989,7,6672.0,0,PD (train)
116,1989,7,44707.0,0,OS (train)
117,1989,8,2575.0,0,PD (train)
117,1989,8,45871.0,0,OS (train)
118,1989,9,2071.0,0,PD (train)
118,1989,9,46229.0,0,OS (train)
120,1990,0,0.0,85956,PD (train)
120,1990,0,0.0,0,OS (train)
120,1990,1,55211.0,0,PD (train)
120,1990,1,8744.0,0,OS (train)
121,1990,2,37221.0,0,PD (train)
121,1990,2,24302.0,0,OS (train)
122,1990,3,27760.0,0,PD (train)
122,1990,3,35406.0,0,OS (train)
123,1990,4,17990.0,0,PD (train)
123,1990,4,43412.0,0,OS (train)
124,1990,5,11417.0,0,PD (train)
124,1990,5,48057.0,0,OS (train)
125,1990,6,6716.0,0,PD (train)
125,1990,6,50897.0,0,OS (train)
126,1990,7,4282.0,0,PD (train)
126,1990,7,52879.0,0,OS (train)
127,1990,8,3015.0,0,PD (train)
127,1990,8,53956.0,0,OS (train)
130,1991,0,0.0,99339,PD (train)
130,1991,0,0.0,0,OS (train)
130,1991,1,60617.0,0,PD (train)
130,1991,1,13301.0,0,OS (train)
131,1991,2,42144.0,0,PD (train)
131,1991,2,32950.0,0,OS (train)
132,1991,3,25987.0,0,PD (train)
132,1991,3,47201.0,0,OS (train)
133,1991,4,14805.0,0,PD (train)
133,1991,4,56394.0,0,OS (train)
134,1991,5,9406.0,0,PD (train)
134,1991,5,61650.0,0,OS (train)
135,1991,6,5792.0,0,PD (train)
135,1991,6,65039.0,0,OS (train)
136,1991,7,3966.0,0,PD (train)
136,1991,7,66566.0,0,OS (train)
140,1992,0,0.0,104897,PD (train)
140,1992,0,0.0,0,OS (train)
140,1992,1,65719.0,0,PD (train)
140,1992,1,11424.0,0,OS (train)
141,1992,2,46047.0,0,PD (train)
141,1992,2,29086.0,0,OS (train)
142,1992,3,31250.0,0,PD (train)
142,1992,3,42034.0,0,OS (train)
143,1992,4,22245.0,0,PD (train)
143,1992,4,50910.0,0,OS (train)
144,1992,5,11878.0,0,PD (train)
144,1992,5,56406.0,0,OS (train)
145,1992,6,8408.0,0,PD (train)
145,1992,6,59437.0,0,OS (train)
150,1993,0,0.0,119427,PD (train)
150,1993,0,0.0,0,OS (train)
150,1993,1,68133.0,0,PD (train)
150,1993,1,11792.0,0,OS (train)
151,1993,2,51102.0,0,PD (train)
151,1993,2,27161.0,0,OS (train)
152,1993,3,39934.0,0,PD (train)
152,1993,3,38229.0,0,OS (train)
153,1993,4,21824.0,0,PD (train)
153,1993,4,46722.0,0,OS (train)
154,1993,5,16955.0,0,PD (train)
154,1993,5,50742.0,0,OS (train)
160,1994,0,0.0,110784,PD (train)
160,1994,0,0.0,0,OS (train)
160,1994,1,62434.0,0,PD (train)
160,1994,1,11194.0,0,OS (train)
161,1994,2,46661.0,0,PD (train)
161,1994,2,26893.0,0,OS (train)
162,1994,3,32248.0,0,PD (train)
162,1994,3,38488.0,0,OS (train)
163,1994,4,24140.0,0,PD (train)
163,1994,4,45580.0,0,OS (train)
170,1995,0,0.0,77731,PD (train)
170,1995,0,0.0,0,OS (train)
170,1995,1,56971.0,0,PD (train)
170,1995,1,12550.0,0,OS (train)
171,1995,2,48677.0,0,PD (train)
171,1995,2,31604.0,0,OS (train)
172,1995,3,35336.0,0,PD (train)
172,1995,3,44045.0,0,OS (train)
180,1996,0,0.0,63646,PD (train)
180,1996,0,0.0,0,OS (train)
180,1996,1,56526.0,0,PD (train)
180,1996,1,13194.0,0,OS (train)
181,1996,2,41707.0,0,PD (train)
181,1996,2,31474.0,0,OS (train)
190,1997,0,0.0,48052,PD (train)
190,1997,0,0.0,0,OS (train)
190,1997,1,40799.0,0,PD (train)
190,1997,1,9372.0,0,OS (train)
119,1989,10,1679.0,0,PD (test)
119,1989,10,46483.0,0,OS (test)
128,1990,9,2194.0,0,PD (test)
128,1990,9,54440.0,0,OS (test)
129,1990,10,1511.0,0,PD (test)
129,1990,10,54857.0,0,OS (test)
137,1991,8,2477.0,0,PD (test)
137,1991,8,67783.0,0,OS (test)
138,1991,9,1781.0,0,PD (test)
138,1991,9,68323.0,0,OS (test)
139,1991,10,2309.0,0,PD (test)
139,1991,10,68965.0,0,OS (test)
146,1992,7,6591.0,0,PD (test)
146,1992,7,61029.0,0,OS (test)
147,1992,8,4091.0,0,PD (test)
147,1992,8,62354.0,0,OS (test)
148,1992,9,4345.0,0,PD (test)
148,1992,9,63037.0,0,OS (test)
149,1992,10,4109.0,0,PD (test)
149,1992,10,63406.0,0,OS (test)
155,1993,6,11841.0,0,PD (test)
155,1993,6,53480.0,0,OS (test)
156,1993,7,8266.0,0,PD (test)
156,1993,7,55960.0,0,OS (test)
157,1993,8,5585.0,0,PD (test)
157,1993,8,56826.0,0,OS (test)
158,1993,9,4768.0,0,PD (test)
158,1993,9,57810.0,0,OS (test)
159,1993,10,4205.0,0,PD (test)
159,1993,10,57917.0,0,OS (test)
164,1994,5,18742.0,0,PD (test)
164,1994,5,48836.0,0,OS (test)
165,1994,6,16201.0,0,PD (test)
165,1994,6,50559.0,0,OS (test)
166,1994,7,8797.0,0,PD (test)
166,1994,7,52119.0,0,OS (test)
167,1994,8,6369.0,0,PD (test)
167,1994,8,53426.0,0,OS (test)
168,1994,9,5140.0,0,PD (test)
168,1994,9,54666.0,0,OS (test)
169,1994,10,4719.0,0,PD (test)
169,1994,10,55255.0,0,OS (test)
173,1995,4,26155.0,0,PD (test)
173,1995,4,52539.0,0,OS (test)
174,1995,5,20779.0,0,PD (test)
174,1995,5,57122.0,0,OS (test)
175,1995,6,12638.0,0,PD (test)
175,1995,6,60526.0,0,OS (test)
176,1995,7,8851.0,0,PD (test)
176,1995,7,62882.0,0,OS (test)
177,1995,8,7186.0,0,PD (test)
177,1995,8,64470.0,0,OS (test)
178,1995,9,6111.0,0,PD (test)
178,1995,9,65799.0,0,OS (test)
179,1995,10,4818.0,0,PD (test)
179,1995,10,67011.0,0,OS (test)
182,1996,3,28808.0,0,PD (test)
182,1996,3,44070.0,0,OS (test)
183,1996,4,20495.0,0,PD (test)
183,1996,4,51693.0,0,OS (test)
184,1996,5,14943.0,0,PD (test)
184,1996,5,57120.0,0,OS (test)
185,1996,6,11895.0,0,PD (test)
185,1996,6,60453.0,0,OS (test)
186,1996,7,8905.0,0,PD (test)
186,1996,7,63499.0,0,OS (test)
187,1996,8,6293.0,0,PD (test)
187,1996,8,66205.0,0,OS (test)
188,1996,9,4979.0,0,PD (test)
188,1996,9,67423.0,0,OS (test)
189,1996,10,4348.0,0,PD (test)
189,1996,10,68225.0,0,OS (test)
191,1997,2,26035.0,0,PD (test)
191,1997,2,23735.0,0,OS (test)
192,1997,3,16049.0,0,PD (test)
192,1997,3,34191.0,0,OS (test)
193,1997,4,16977.0,0,PD (test)
193,1997,4,39726.0,0,OS (test)
194,1997,5,13239.0,0,PD (test)
194,1997,5,44685.0,0,OS (test)
195,1997,6,11371.0,0,PD (test)
195,1997,6,48438.0,0,OS (test)
196,1997,7,8455.0,0,PD (test)
196,1997,7,50775.0,0,OS (test)
197,1997,8,6538.0,0,PD (test)
197,1997,8,52694.0,0,OS (test)
198,1997,9,5083.0,0,PD (test)
198,1997,9,54217.0,0,OS (test)
199,1997,10,4562.0,0,PD (test)
199,1997,10,55377.0,0,OS (test)
