"accident_year","dev","claims","premium","type"
1988,0,0,104437,"1"
1988,0,0,0,"2"
1988,1,53121,0,"1"
1988,1,9558,0,"2"
1988,2,41222,0,"1"
1988,2,22778,0,"2"
1988,3,32309,0,"1"
1988,3,33298,0,"2"
1988,4,24944,0,"1"
1988,4,40348,0,"2"
1988,5,17104,0,"1"
1988,5,45146,0,"2"
1988,6,13137,0,"1"
1988,6,48048,0,"2"
1988,7,9605,0,"1"
1988,7,49782,0,"2"
1988,8,6515,0,"1"
1988,8,50623,0,"2"
1988,9,1661,0,"1"
1988,9,51812,0,"2"
1988,10,1322,0,"1"
1988,10,51939,0,"2"
1989,0,0,88883,"1"
1989,0,0,0,"2"
1989,1,54145,0,"1"
1989,1,7913,0,"2"
1989,2,37188,0,"1"
1989,2,19472,0,"2"
1989,3,26976,0,"1"
1989,3,29622,0,"2"
1989,4,20015,0,"1"
1989,4,36816,0,"2"
1989,5,14319,0,"1"
1989,5,40975,0,"2"
1989,6,10179,0,"1"
1989,6,43302,0,"2"
1989,7,6672,0,"1"
1989,7,44707,0,"2"
1989,8,2575,0,"1"
1989,8,45871,0,"2"
1989,9,2071,0,"1"
1989,9,46229,0,"2"
1990,0,0,85956,"1"
1990,0,0,0,"2"
1990,1,55211,0,"1"
1990,1,8744,0,"2"
1990,2,37221,0,"1"
1990,2,24302,0,"2"
1990,3,27760,0,"1"
1990,3,35406,0,"2"
1990,4,17990,0,"1"
1990,4,43412,0,"2"
1990,5,11417,0,"1"
1990,5,48057,0,"2"
1990,6,6716,0,"1"
1990,6,50897,0,"2"
1990,7,4282,0,"1"
1990,7,52879,0,"2"
1990,8,3015,0,"1"
1990,8,53956,0,"2"
1991,0,0,99339,"1"
1991,0,0,0,"2"
1991,1,60617,0,"1"
1991,1,13301,0,"2"
1991,2,42144,0,"1"
1991,2,32950,0,"2"
1991,3,25987,0,"1"
1991,3,47201,0,"2"
1991,4,14805,0,"1"
1991,4,56394,0,"2"
1991,5,9406,0,"1"
1991,5,61650,0,"2"
1991,6,5792,0,"1"
1991,6,65039,0,"2"
1991,7,3966,0,"1"
1991,7,66566,0,"2"
1992,0,0,104897,"1"
1992,0,0,0,"2"
1992,1,65719,0,"1"
1992,1,11424,0,"2"
1992,2,46047,0,"1"
1992,2,29086,0,"2"
1992,3,31250,0,"1"
1992,3,42034,0,"2"
1992,4,22245,0,"1"
1992,4,50910,0,"2"
1992,5,11878,0,"1"
1992,5,56406,0,"2"
1992,6,8408,0,"1"
1992,6,59437,0,"2"
1993,0,0,119427,"1"
1993,0,0,0,"2"
1993,1,68133,0,"1"
1993,1,11792,0,"2"
1993,2,51102,0,"1"
1993,2,27161,0,"2"
1993,3,39934,0,"1"
1993,3,38229,0,"2"
1993,4,21824,0,"1"
1993,4,46722,0,"2"
1993,5,16955,0,"1"
1993,5,50742,0,"2"
1994,0,0,110784,"1"
1994,0,0,0,"2"
1994,1,62434,0,"1"
1994,1,11194,0,"2"
1994,2,46661,0,"1"
1994,2,26893,0,"2"
1994,3,32248,0,"1"
1994,3,38488,0,"2"
1994,4,24140,0,"1"
1994,4,45580,0,"2"
1995,0,0,77731,"1"
1995,0,0,0,"2"
1995,1,56971,0,"1"
1995,1,12550,0,"2"
1995,2,48677,0,"1"
1995,2,31604,0,"2"
1995,3,35336,0,"1"
1995,3,44045,0,"2"
1996,0,0,63646,"1"
1996,0,0,0,"2"
1996,1,56526,0,"1"
1996,1,13194,0,"2"
1996,2,41707,0,"1"
1996,2,31474,0,"2"
1997,0,0,48052,"1"
1997,0,0,0,"2"
1997,1,40799,0,"1"
1997,1,9372,0,"2"
